┏━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━┳━━━━━━━━┳━━━━━━━━┓
┃ id        ┃ lista1 ┃ lista2 ┃ prova1 ┃ prova2 ┃
┡━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━╇━━━━━━━━╇━━━━━━━━┩
│ 211061574 │ -      │ 4.00   │ 6.42   │ 10.00  │
│ 211061897 │ 0.00   │ -      │ 7.92   │ 8.75   │
│ 211062016 │ 2.00   │ -      │ 6.33   │ 9.50   │
│ 211062339 │ 2.00   │ -      │ 7.92   │ 10.00  │
│ 211062910 │ 2.00   │ 4.00   │ 4.75   │ -      │
│ 212005453 │ 1.00   │ 4.00   │ 8.75   │ 10.00  │
│ 221008264 │ -      │ 4.00   │ -      │ 0      │
│ 221008267 │ -      │ -      │ 7.00   │ 10.00  │
│ 221008294 │ -      │ 0.63   │ 7.00   │ 9.75   │
│ 221008310 │ 0.00   │ -      │ 7.59   │ 10.00  │
│ 221022014 │ 2.00   │ 4.00   │ 4.75   │ 8.25   │
│ 221022266 │ 2.00   │ 4.00   │ 9.00   │ 10.00  │
│ 221022696 │ 2.00   │ -      │ 8.75   │ 10.00  │
│ 221029249 │ -      │ -      │ 5.50   │ 10.00  │
│ 221034973 │ 0.00   │ 4.00   │ 8.59   │ 0      │
│ 221037465 │ 0.00   │ -      │ 8.00   │ 10.00  │
│ 222006383 │ 1.00   │ 4.00   │ 8.67   │ 10.00  │
│ 222015112 │ 2.00   │ -      │ 8.92   │ 9.50   │
│ 222024283 │ 0      │ 4.00   │ 3.75   │ 8.83   │
│ 222037737 │ 2.00   │ -      │ -      │ 10.00  │
│ 231011785 │ 2.00   │ 4.00   │ 7.25   │ 8.50   │
│ 231026474 │ 2.00   │ 4.00   │ 8.42   │ 10.00  │
│ 231026625 │ 2.00   │ -      │ 7.25   │ 10.00  │
│ 231026975 │ 2.00   │ 4.00   │ 9.50   │ 10.00  │
│ 231032121 │ 1.00   │ -      │ 8.17   │ 6.50   │
│ 231035428 │ 2.00   │ -      │ 8.67   │ 10.00  │
└───────────┴────────┴────────┴────────┴────────┘
